year_month,open,high,low,close
2018-07,28617.00,29083.40,27745.85,28583.01
2018-08,28756.72,28772.80,26871.11,27888.55
2018-09,27809.45,28031.81,26219.56,27788.52
2018-10,27716.16,27716.16,24540.63,24979.69
2018-11,25228.75,26923.33,25092.30,26506.75
2018-12,27185.66,27260.44,25313.75,25845.70
2019-01,25824.44,28010.90,24896.87,27942.47
2019-02,28193.28,29014.19,27534.20,28633.18
2019-03,28716.60,29486.15,28201.09,29051.36
2019-04,29383.72,30280.12,29383.72,29699.11
2019-05,29643.05,30081.55,26850.27,26901.09
2019-06,26909.71,28634.48,26671.90,28542.62
2019-07,28904.04,29007.98,27701.44,27777.75
2019-08,27582.21,27754.04,24899.93,25724.73
2019-09,25627.83,27366.45,25498.11,26092.27
2019-10,25901.47,27027.56,25521.95,26906.72
2019-11,26806.44,27900.80,26203.97,26346.49
2019-12,26475.34,28418.65,25995.15,28189.75
2020-01,28249.37,29174.92,26295.49,26312.63
2020-02,26189.61,28055.58,25989.41,26129.93
2020-03,26077.73,26805.58,21139.26,23603.48
2020-04,23365.90,24855.47,22756.13,24643.59
2020-05,23895.11,24766.83,22519.73,22961.47
2020-06,23539.91,25303.78,23539.91,24427.19
2020-07,24563.57,26782.62,24526.91,24595.35
2020-08,24566.81,25847.11,24167.79,25177.05
2020-09,25085.67,25254.14,23124.25,23459.05
2020-10,24039.39,24970.59,23674.52,24107.42
2020-11,24274.83,27040.41,24232.66,26341.49
2020-12,26422.71,27340.99,25998.87,27231.13
2021-01,27087.13,30191.16,27079.24,28283.71
2021-02,28457.85,31183.36,28382.26,28980.21
2021-03,29457.89,29912.00,27505.08,28378.35
2021-04,28594.55,29405.12,28274.27,28724.88
2021-05,28659.91,29336.13,27715.88,29151.80
2021-06,29159.06,29490.61,28216.09,28827.95
2021-07,28859.02,28859.02,24748.84,25961.03
2021-08,26054.81,26822.47,24581.60,25878.99
2021-09,25871.82,26560.04,23771.46,24575.64
2021-10,24478.68,26234.94,23681.44,25377.24
2021-11,25268.35,25746.71,23175.37,23475.26
2021-12,23595.57,24385.44,22665.25,23397.67
2022-01,23510.54,24982.03,22709.60,23802.26
2022-02,24392.86,25050.59,22406.12,22713.02
2022-03,22739.84,22937.56,18235.48,21996.85
2022-04,21693.10,22523.64,19665.49,21089.39
2022-05,20927.62,21415.20,19178.89,21415.20
2022-06,21407.79,22449.31,20697.17,21859.79
2022-07,21690.68,22198.51,20050.05,20156.51
2022-08,20026.60,20283.59,19189.54,19954.39
2022-09,19761.72,19839.51,17016.28,17222.83
2022-10,17079.51,18164.20,14597.31,14687.02
2022-11,14859.92,18645.35,14859.92,18597.23
2022-12,19058.90,20099.77,18530.82,19781.41
2023-01,19570.43,22700.85,19303.73,21842.33
2023-02,21920.80,22311.96,19783.07,19785.94
2023-03,19849.97,21005.66,18829.11,20400.11
2023-04,20379.50,20864.74,19520.97,19894.57
2023-05,20122.90,20321.74,18044.86,18234.27
2023-06,18190.27,20155.92,18190.27,18916.43
2023-07,19002.55,20361.03,18279.73,20078.94
2023-08,20211.20,20331.28,17573.70,18382.06
2023-09,18592.53,18899.49,17352.83,17809.66
2023-10,17546.39,18290.91,16879.66,17112.48
2023-11,17139.40,18174.69,16863.05,17042.88
2023-12,17019.17,17095.12,15972.31,17047.39
2024-01,17135.12,17135.12,14794.16,15485.07
2024-02,15522.86,16895.82,15336.86,16511.44
2024-03,16390.89,17214.67,16095.68,16541.42
2024-04,16811.74,18031.16,16044.45,17763.03
2024-05,17760.68,19706.12,17740.62,18079.61
2024-06,18283.56,18724.62,17583.19,17718.61
2024-07,17669.42,18317.31,16924.58,17344.60
2024-08,17327.85,18202.60,16441.44,17989.07
2024-09,17862.59,21488.75,16964.28,21133.68